transaction_id,sale_date,customer_id,product_id,quantity,sales_channel,payment_method
1,2025-10-16,115,7,2,Online,Card
2,2024-04-14,693,190,4,Online,Card
3,2024-01-31,96,56,1,Store,Cash
4,2025-10-27,719,140,1,Online,Card
5,2024-01-07,778,41,2,Online,Card
6,2024-12-10,105,24,1,Online,Card
7,2024-09-27,827,12,2,Online,PayPal
8,2025-01-22,81,142,1,Store,Bank Transfer
9,2025-01-05,592,50,2,Online,Card
10,2024-10-23,82,60,3,Online,Card
11,2025-01-08,167,95,1,Store,Bank Transfer
12,2025-11-30,664,19,2,Online,Bank Transfer
13,2024-06-16,474,98,1,Marketplace,Cash
14,2024-08-12,702,84,3,Store,Card
15,2024-02-02,825,81,1,Online,PayPal
16,2025-08-03,898,184,1,Store,Card
17,2025-10-20,470,37,1,Online,Cash
18,2024-09-26,765,150,1,Store,Card
19,2024-05-21,522,127,1,Online,Card
20,2025-10-04,164,175,1,Online,Card
21,2025-04-24,542,65,5,Marketplace,Card
22,2024-04-27,699,138,3,Store,Card
23,2024-10-27,446,41,1,Marketplace,Bank Transfer
24,2024-09-26,996,129,3,Online,Card
25,2025-10-02,306,164,2,Online,Card
26,2024-06-14,553,200,4,Marketplace,Cash
27,2025-05-15,20,29,4,Marketplace,Bank Transfer
28,2024-11-10,246,15,1,Store,Card
29,2025-05-12,836,18,5,Online,Card
30,2025-11-06,487,141,1,Online,Cash
31,2024-08-04,952,139,3,Store,Bank Transfer
32,2025-02-12,688,167,1,Marketplace,Card
33,2024-09-10,231,17,1,Store,Card
34,2024-08-13,8,19,2,Online,Card
35,2024-02-02,881,85,1,Online,Cash
36,2024-08-07,553,34,2,Marketplace,Cash
37,2024-09-05,804,122,3,Online,Card
38,2025-03-17,363,109,1,Marketplace,Card
39,2025-10-31,662,26,1,Store,Bank Transfer
40,2024-04-21,255,50,1,Online,Card
41,2024-10-12,474,64,4,Online,Bank Transfer
42,2025-07-17,101,13,2,Online,Card
43,2024-04-05,949,193,3,Online,Card
44,2024-08-06,886,103,4,Online,Card
